Región,Productos seleccionados,Unidad de medida,Período,Precio,Año,Mes,Orden_Periodo
Noreste,Pollo entero,kg,Año 2017 - Septiembre,39.05,2017,Septiembre,201709.0
Noreste,Aceite de girasol,"1,5 litros",Año 2017 - Septiembre,54.33,2017,Septiembre,201709.0
Noreste,Leche fresca entera sachet,Litro,Año 2017 - Septiembre,23.39,2017,Septiembre,201709.0
Noreste,Huevos de gallina,Docena,Año 2017 - Septiembre,29.32,2017,Septiembre,201709.0
Noreste,Papa,kg,Año 2017 - Septiembre,13.51,2017,Septiembre,201709.0
Noreste,Azúcar,kg,Año 2017 - Septiembre,18.37,2017,Septiembre,201709.0
Noreste,Detergente líquido,750 cc,Año 2017 - Septiembre,20.34,2017,Septiembre,201709.0
Noreste,Lavandina,1.000 cc,Año 2017 - Septiembre,15.77,2017,Septiembre,201709.0
Noreste,Jabón de tocador,125 g,Año 2017 - Septiembre,14.79,2017,Septiembre,201709.0
Noroeste,Pan francés,kg,Año 2017 - Septiembre,33.24,2017,Septiembre,201709.0
Noroeste,Harina de trigo común,kg,Año 2017 - Septiembre,10.7,2017,Septiembre,201709.0
Noroeste,Arroz blanco simple,kg,Año 2017 - Septiembre,19.41,2017,Septiembre,201709.0
Noroeste,Fideos secos tipo guisero,500 g,Año 2017 - Septiembre,13.89,2017,Septiembre,201709.0
